id,street,houseNumber,houseNumberAddition,postalcode,totalRent,netRent,serviceCosts,heatingCosts,eenmaligeKosten,areaDwelling,constructionYear,isZelfstandig,availableFromDate,availableFromOriginalDate,availableFrom,publicationDate,closingDate,numberOfReactions,huurtoeslagMogelijk,toewijzingModelTypeInCode,infoveldKort,latitude,longitude,urlKey,stad,gemeente,wijk,buurt,corporatie,woningtype,energielabel,verwarming,slaapkamers,keuken,verdieping,actielabel,model,woningsoort,doelgroepen,gescraped_op
131560,Dijkgraaf,4,-01C12,6708 PG,555.97,417.73,138.24,,0,0,1977,0,2026-05-19T00:00:00.000Z,2026-05-19T00:00:00.000Z,,2026-04-16T07:00:00.000Z,2026-06-19T07:00:00.000Z,2,1,winkelmodel,,51.9803,5.65684,131560-dijkgraaf-4--01c12-wageningen,Wageningen,Wageningen,Wageningen stad,,02,Zelf inrichten,Energielabel D,CV collectief,1  slaap/woonkamer,Gemeenschappelijke keuken,1e verdieping,,aanbodmodel,woningsoort_onzelfstandig,Studentr,2026-04-20 00:45
131563,Damsport,19,,9728 PP,748.11,562.13,26.76,141.7,0,29,1981,1,2026-05-19T00:00:00.000Z,2026-05-19T00:00:00.000Z,,2026-04-14T11:38:00.000Z,2026-04-21T11:38:00.000Z,64,1,winkelmodel,,53.1926,6.55674,131563-damsport-19-groningen,Groningen,Groningen,Hoornse Meer,,10,Zelf inrichten,Energielabel C,CV,1 extra slaapkamer,Open keuken,Begane grond,,aanbodmodel,woningsoort_zelfstandig,jongeren,2026-04-20 00:45
131565,Oudeweg,63,,9711 TJ,955.75,932.93,4.19,,0,66,1991,1,2026-05-29T00:00:00.000Z,2026-05-29T00:00:00.000Z,,2026-04-14T11:34:00.000Z,2026-04-21T11:34:00.000Z,118,1,winkelmodel,,53.2188,6.575,131565-oudeweg-63-groningen,Groningen,Groningen,Binnenstad-Oost,,10,Zelf inrichten,Energielabel A,CV,2 extra slaapkamers,Open keuken,2e verdieping,,aanbodmodel,woningsoort_zelfstandig,jongeren,2026-04-20 00:45
131569,Dijkgraaf,4,-00B14,6708 PG,574.17,417.73,156.44,,30,0,1977,0,2026-05-19T00:00:00.000Z,2026-05-19T00:00:00.000Z,,2026-04-17T07:00:00.000Z,2026-04-20T07:00:00.000Z,2,1,winkelmodel,,51.9803,5.65684,131569-dijkgraaf-4--00b14-wageningen,Wageningen,Wageningen,Wageningen stad,,02,Gemeubileerd,Energielabel D,CV collectief,1  slaap/woonkamer,Gemeenschappelijke keuken,Begane grond,,aanbodmodel,woningsoort_onzelfstandig,Studentr,2026-04-20 00:45
131630,Waldorpstraat,676,,2521 CK,827.01,598.01,229,,2.42,22,,1,2026-05-17T00:00:00.000Z,2026-05-17T00:00:00.000Z,,2026-04-17T09:19:00.000Z,2026-04-21T09:19:00.000Z,74,1,winkelmodel,,52.0603,4.31098,131630-waldorpstraat-676-denhaag,Den Haag,Den Haag,Laakkwartier en Spoorwijk,,01,Zelf inrichten,Energielabel B,CV collectief,1  slaap/woonkamer,Open keuken,Begane grond,,aanbodmodel,woningsoort_zelfstandig,jongeren,2026-04-20 00:45
131631,Van Reigersbergenstraat,290,,1052 WT,505.2,498.2,7,,,36,,0,2026-05-01T00:00:00.000Z,2026-05-01T00:00:00.000Z,,2026-04-14T16:00:00.000Z,2026-04-20T10:00:00.000Z,304,0,winkelmodel,,52.3741,4.87026,131631-vanreigersbergenstraat-290-amsterdam,Amsterdam,Amsterdam,Stadsdeel West,,33,Zelf inrichten,Energielabel B,,1  slaap/woonkamer,Gemeenschappelijke keuken,,,aanbodmodel,woningsoort_onzelfstandig,,2026-04-20 00:45
131633,Prinses Irenestraat,1,,2131 XL,616.3,611.31,4.99,,0,70,,1,2026-04-21T00:00:00.000Z,2026-04-21T00:00:00.000Z,,2026-04-17T08:03:00.000Z,2026-04-24T08:03:00.000Z,66,1,winkelmodel,,52.3099,4.68748,131633-prinsesirenestraat-1-hoofddorp,Hoofddorp,Haarlemmermeer,Hoofddorp Noord,,33,Zelf inrichten,,,3 extra slaapkamers,Dichte keuken,,,aanbodmodel,woningsoort_zelfstandig,,2026-04-20 00:45
131639,Bornsesteeg,20,204,6708 PE,621.8,521.09,100.71,,2.42,20,,1,2026-05-15T00:00:00.000Z,2026-05-15T00:00:00.000Z,,2026-04-14T14:17:00.000Z,2026-04-21T14:17:00.000Z,74,1,winkelmodel,,51.9828,5.66408,131639-bornsesteeg-20-204-wageningen,Wageningen,Wageningen,Wageningen campus,,01,Zelf inrichten,Energielabel A,CV collectief,1  slaap/woonkamer,Open keuken,1e verdieping,,aanbodmodel,woningsoort_zelfstandig,jongeren,2026-04-20 00:45
131640,Delftstraat,52,0401,2015 BM,342.3,228.35,72.75,35,40,18,2007,0,2025-05-12T00:00:00.000Z,2025-05-12T00:00:00.000Z,,2026-04-14T13:59:00.000Z,2026-04-21T13:59:00.000Z,28,0,winkelmodel,,52.3872,4.6225,131640-delftstraat-52-0401-haarlem,Haarlem,Haarlem,Duinwijk,,34,Zelf inrichten,,CV collectief,1  slaap/woonkamer,Open keuken,4e verdieping,,aanbodmodel,woningsoort_onzelfstandig,jongeren,2026-04-20 00:45
131647,Dudokstraat,125,,2132 HT,836.83,691.39,145.44,,2.31,20,2025,1,2026-05-15T00:00:00.000Z,2026-05-15T00:00:00.000Z,,2026-04-16T07:34:00.000Z,2026-04-23T07:34:00.000Z,49,1,winkelmodel,,52.2976,4.70647,131647-dudokstraat-125-hoofddorp,Hoofddorp,Haarlemmermeer,Hoofddorp-Zuid,,01,Zelf inrichten,Energielabel A+++,CV collectief,1  slaap/woonkamer,Open keuken,8e verdieping,Voorrang Haarlemmermeer,aanbodmodel,woningsoort_zelfstandig,Studentr,2026-04-20 00:45
